screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
FionaSaveourNHS,2021-12-23T10:56:40Z,"RT @DMinghella: The Covid minimisers have been saying it's all over and it's all all right for rather a long time, and so far they have been wrong, wrong, murderously wrong. Time to stop listening to them, stop publishing them, and stop giving them credence in the media.",,DMinghella,"Me,wife,step mum,mum to dogs,animals,disabilities,art,politics. CEV. European. ❤️NHS❤️  🤬Tories🤬    #takebackBritian 😷 DMs by agreement only pls.",Twitter for Android,en,1473970808934604803
elmozo7,2021-12-23T10:56:40Z,"RT @MadridSports_: 🚨 Rodrygo, Bale y Alaba, NEGATIVO en COVID.",,MadridSports_,"Juntaletras del Real Madrid y de F1, aunque firma mi alter ego, Bruce Wayne. Tertuliano de podcast. Opiniones, todas. Insultos, ninguno.",Twitter for iPhone,es,1473970807881846785
Zondi04199088,2021-12-23T10:56:40Z,"@eNCA Saprha approve that j&amp;j jab as effective second dose how sure they are because government are the only people they can communicate with the covid, do covid told them that j&amp;j is effective 🤔🤔because they will tell us about 5th wave next year j&amp;j won't be effective on that wave",eNCA,,,Twitter for Android,en,1473970807386918920
SamchonFanMY,2021-12-23T10:56:40Z,"RT @saintnoze: noze answered that she wants to perform abroad once covid-9 ends or dies down 😭🤍🤍🤍

pLS IM MANIFESTING EVEN FOR JUST AN ASIA TOUR TO START THIS OFF 😭✊🏼✊🏼
#노제 #NOZE https://t.co/lBN4tlMfYK",,saintnoze,"🇲🇾 KPOP lover - Multifandom
Follow only if you don't mind multistan contents 🤣
Good vibes only. No drama. 

#bossfeedback
 
https://t.co/U4iAd2TSZz",Twitter Web App,en,1473970806912794624
twmas38,2021-12-23T10:56:40Z,"RT @timricketts_: There’s something a bit baffling about a patient in hospital with covid who is unvaccinated because “I don’t believe in modern medicine”, but wants to be for full escalation and ITU. Do they think ITU treatment is based on the four humours and healing crystals?",,timricketts_,,Twitter for Android,en,1473970806858424324
SeaObsession,2021-12-23T10:56:40Z,"RT @chrismartenson: Omicron deaths are surprising!  To the low side, that is.  I think omicron can be the beginning of the end of Covid.  Come find out what the data says with tonight's premiering video (7:30 ET)
https://t.co/Vb1mP56npe",,chrismartenson,We are in the upside down world.  I blame STRANGER THINGS for opening a portal,Twitter Web App,en,1473970806850039808
catsmother01,2021-12-23T10:56:40Z,"RT @NeilMcMahon: The Perrottet Pirouette, a week too late. ""For many hoping a pro-business Perrottet would be good for business ... it’s too late: staff are already ill or isolating, patrons are staying at home for fear of getting Covid, travel has been cancelled."" https://t.co/gf3aDyVP26",,NeilMcMahon,"Mad Scot, Crazy Grannie, Dr Who Fanatic!",Twitter for Mac,en,1473970806635962369
AshwinPundit,2021-12-23T10:56:39Z,"RT @AmanChopra_: UP Chief Minister Yogi Adityanath dials SP chief and former CM Akhilesh Yadav to enquire about the health of his wife Dimple Yadav and his daughter, who have tested positive for COVID. The CM also asked Akhilesh Yadav about his health: Chief Minister's Office",,AmanChopra_,"I love politics, meeting people, making friends, history

I love politics,meeting people, making friends,history,language, culture of India",Twitter for iPad,en,1473970805767753733
philmariusco,2021-12-23T10:56:39Z,"Massive fan of the ""local incidence"" tab available in the German covid app https://t.co/SW27GS4mKs",,,Data Engineer in London (he/him),Twitter for Android,en,1473970805755334664
RebornUnicorn1,2021-12-23T10:56:39Z,RT @dlberes: 2021: A teacher friend tells me they are practicing an “adjusted” active shooter scenario today so the kids don’t huddle too close together and spread covid. “Spread out instead of piling in a corner.”,,dlberes,This life is more than just a read through.,Twitter for iPhone,en,1473970805482524672
BorroLuciane,2021-12-23T10:56:39Z,"RT @JanainaDoBrasil: Peço que leiam as páginas 51 e 52. A própria Anvisa reconhece as incertezas relacionadas aos riscos de vacinar as crianças contra COVID 19. Nesse contexto, impossível pretender criminalizar o Presidente ou o Ministro, por exigirem uma discussão mais profunda! Leiam!",,JanainaDoBrasil,,Twitter for Android,pt,1473970805369409539
sub__urbano,2021-12-23T10:56:39Z,"RT @manuelrico: Hoy hace 655 días que falleció el primer residente en Cataluña. En dos meses, con un Govern paralizado, murieron 2.797 con covid en su residencia sin ser derivados al hospital. La @fiscal_es no investiga de oficio. Ellos pasan, nosotros #NoOlvidamos. ¿Se lo recordamos a diario?",,manuelrico,"Si no estás indignado, es que no estás prestando atención",Twitter for iPhone,es,1473970805310734342
jesuscabeza17,2021-12-23T10:56:39Z,"RT @lubrio: (VIDEO) Presidente Maduro confirma los primeros 7 casos en #Venezuela de la variante Omicrón del virus SARS-CoV-2, causante del Covid-19. Se detectaron en el Distrito Capital, Miranda y Lara, de personas que viajaron provenientes de Panamá, Rep. Dominicana y otros países. https://t.co/Xhfh7TFnqZ",,lubrio,,Twitter for Android,es,1473970805080002568
lauren_lagrega,2021-12-23T10:56:39Z,"RT @DataDrivenMD: And just like that, #NewYork is admitting more children to the hospital for #COVID19 than at any other point in this pandemic

source: HHS/CDC
https://t.co/zNC2rpwfXY https://t.co/SItI7Z1GqU",,DataDrivenMD,,Twitter for iPhone,en,1473970804807376898
saara_rl,2021-12-23T10:56:39Z,"dos años y seguimos siendo neg, ni el covid me quiere https://t.co/ZwCiCoQIGh",,,Bcn 🇪🇸,Twitter for iPhone,es,1473970804727717895
Gador_El_Ven,2021-12-23T10:56:39Z,"RT @MarianaLestelle: 1- Tal cómo lo establece la Constitución y la declaración universal de los derechos humanos, ningún derecho individual puede estar por encima del derecho superior del otro, en este caso, el de la salud #Covid_19",,MarianaLestelle,"“El infinito es no ponerte límites, el infinito será todo lo que pude hacer, el infinito es haber dado lo máximo de mí”. Braian Toledo",Twitter for Android,es,1473970804496891905
sheridan_n2p,2021-12-23T10:56:39Z,RT @TimRunsHisMouth: Soooo...  they're still running with doomsday COVID predictive models when none of them have ever come true ...got it.,,TimRunsHisMouth,"20 yrs in healthcare, God, #coach #iam1stphorm #redcon1 #fitness #personaltrainer #portlandmaine, health, nutrition, natural immunity, dad 2 autistic son",Twitter for iPhone,en,1473970804148871171
gianluca826,2021-12-23T10:56:39Z,"RT @martinacarletti: #Thread

Due fratelli vengono espulsi dai rispettivi asili comunali perché i genitori non rispettano nella vita privata le ""norme anti covid"" (mascherina anche all’aperto e distanziamento, pronuncia T.A.R. Emilia-Romagna Bologna Sez. I, Ord., (ud. 28-09-2021) 28-09-2021, n. 444.",,martinacarletti,Noi siamo #StefanoPuzzer  #Lagentecomenoinonmollamai,Twitter for Android,it,1473970804106928129
DiasAdria,2021-12-23T10:56:39Z,"RT @Bob_Fernandes: Bolsonaro e o ministro da Saúde não querendo e protelando a vacinação pediatra contra Covid. Se acontecer 1(um) caso do pior a solução é simples, processar ambos e demais envolvidos por homicídio",,Bob_Fernandes,"Ciências Sociais
Engenheira Civil
Causa animal 
músicas, gastronomia",Twitter for Android,pt,1473970803834339335
Mauroe99,2021-12-23T10:56:39Z,RT @JazminPastela: me duele la cabeza debe ser covid omg *mira pantallas 18 hs al día*,,JazminPastela,21 - club atlético tigre💙♥️2/6/19🌟,Twitter for Android,es,1473970803804815360
TomsOrlandoDel1,2021-12-23T10:56:39Z,"RT @ivanantonio2016: El alcalde de San Sebastián, Javier Jiménez, también confirma que dio positivo al COVID-19 - Papito Dios cuídalo que este estaba en contra de la Vacuna  https://t.co/ngBnrwRM2n",,ivanantonio2016,,Twitter for iPad,es,1473970803758833665
TrasElValle_OBC,2021-12-23T10:56:39Z,"RT @jjaranaz94: ""Lo mejor de la #Navidad"":

https://t.co/YEBchq0XSC

#PasaporteCovid #ToqueDeQueda #Mascarillas #Covid19 #Covid_19 #COVIDー19 #Coronavirus #Covid #Vacuna #Vaccine #Pfizer #Janssen #Moderna @TrasElValle_OBC #Nochebuena #Contagio #Positivo #FelizNavidad #MerryChristmas #FelizSábado https://t.co/EONFYyvGik",,jjaranaz94,"#NUEVA cuenta oficial del programa de @ObamasChannel #TrasElValleDeAranaz, conducido por @jjaranaz94 todos los viernes a partir de las 22.15h.",Twitter for Android,es,1473970803607752705
IraAkoe,2021-12-23T10:56:39Z,"RT @ExxaLatifa: Mendagri Tito menekankan untuk mempertimbangkn faktor ventilasi, udara, durasi dan jarak interaksi untuk mengurangi risiko penularan Covid-19 varian Omicron. @kemendagri https://t.co/rgChULdJBD",,ExxaLatifa,i am a simple one,Twitter for Android,in,1473970803397910534
JuPmello,2021-12-23T10:56:39Z,"RT @pauloteixeira13: “Comunistinhas, trairas”. Assim estão sendo chamados os técnicos da Anvisa que aprovaram a recomendação da vacina da Covid para crianças. Seus nomes foram revelados pelo ministro da saúde, como forma de retaliação à excelente posição profissional que tomaram. Solidariedade!",,pauloteixeira13,Climbing Aholic...,Twitter for Android,pt,1473970803251236864
suebassil_,2021-12-23T10:56:39Z,menuda follada psicológica la del covid,,,tag a slag,Twitter for iPhone,es,1473970802974408707
PaddyPo32312273,2021-12-23T10:56:39Z,"@cooper_m @lstwrd @TodayFM While you're on the subject of sport can we all have a chat about the amount of professional sports persons dropping with heart issues since all thia covid and vaxx craic. 
Very interesting topic!!!",cooper_m,,,Twitter for Android,en,1473970802785669154
youngmfdon,2021-12-23T10:56:39Z,RT @_Rashad25: Covid really went back watched film and got better,,_Rashad25,A mf marine 🇺🇸So I’m always faithful,Twitter for iPhone,en,1473970802479726593
FShnerb,2021-12-23T10:56:39Z,"RT @drphilhammond: When people who have refused to be vaccinated are admitted to hospital with Covid, do they also refuse all other treatments based on knowledge gained in the last two years because they are ‘too new’ and they want to wait for more evidence? Genuinely interested in the answers.",,drphilhammond,"I want to see a future where the future still exists.  #SafeEdForAll, #WearAMask, #CovidIsAirborne.",Twitter for Android,en,1473970802462707714
ChenelleIdehen,2021-12-23T10:56:38Z,"RT @michaelharriot: After the ‘08 Recession, we gave trillions to the banking &amp; auto industries. When COVID hit, we gave families’ stimmys &amp; forgivable loans to businesses.

Apparently, just handing out money can fix any financial issue &amp; stimulate ANY economy.

This tweet is about reparations.",,michaelharriot,aunty 🥰. afrocentrist. philosopher-queen. africologist. i want afrakan people to be free. that’s all that matters to me. ❤️🖤💚,Twitter for iPhone,en,1473970802114633732
DXVNCI,2021-12-23T10:56:38Z,"RT @brondotcomputer: The neat thing about COVID is it's super transmissible if you're with loved ones, but totally non-spreadable if you're at work making a CEO lots of money",,brondotcomputer,Photographer/Serial retweeter • https://t.co/aXyq0nXfnK,Twitter for iPhone,en,1473970802047733762
MealLulo,2021-12-23T10:56:38Z,"""I used think oo malume are people over the age of 40, but yey covid came and showed us flames. 28 yr old ngo malume now and are expected to be running a household, buying Christmas clothes for nephews and nieces"" But, if it doesn't kill you, it will make you strong.",,,a wound specialist.,Twitter for Android,en,1473970801871360003
gragus00,2021-12-23T10:56:38Z,Ayuso incumple su palabra de renovar todos los contratos covid de sanitarios en pleno colapso de la sanidad madrileña https://t.co/mC91bDkckE a través de @publico_es,,,Es Imprescindible la Unidad de L@s Comunistas el capitalismo vuelve a encubrir al fascismo. República🤠📣🌍🚩,Twitter Web App,es,1473970801359695876
